tipo_vivienda,divisa,precio,habitaciones,banios,parqueos,direccion,metraje,detalles
apartamento,US$,"254,000",3,3.5,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",195,"1/2 Baño, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estudio, Gimnasio, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas"
apartamento,RD$,"3,900,000",3,2,2,"Don Honorio, Santo Domingo Centro (D.N.), Santo Domingo",124,"Area de Juegos Infantiles, Balcón, Cisterna, Control de Acceso, Gazzebo, Gimnasio, Piscina, Pozo, Seguridad 24 Horas"
apartamento,US$,"103,500",1,2,1,"Serralles, Santo Domingo Centro (D.N.), Santo Domingo",69,"Area de Juegos Infantiles, Ascensor, Cisterna, Control de Acceso, Gazzebo, Gimnasio, Jacuzzi, Planta Eléctrica, Seguridad 24 Horas"
apartamento,RD$,"9,000,000",3,3.5,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",224,"1/2 Baño, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
casa,RD$,"7,600,000",3,2.5,2,"Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",200,"1/2 Baño, Area Servicio Independiente, Cisterna, Cuarto de Servicio, Estudio, Patio, Terraza, Walk In Closet"
apartamento,RD$,"7,500,000",3,3.5,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",200,"1/2 Baño, Area Servicio Independiente, Ascensor, Cisterna, Control de Acceso, Cuarto de Servicio, Estudio, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"125,000",3,2,2,"Costa Caribe, Santo Domingo Centro (D.N.), Santo Domingo",161,"Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Vestidores"
apartamento,US$,"75,000",1,1,1,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",50,"Ascensor, Cisterna, Control de Acceso, Gimnasio, Planta Eléctrica"
apartamento,US$,"360,000",3,3.5,3,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",267,"1/2 Baño, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Vestidores"
apartamento,US$,"125,000",2,2,2,"Los Restauradores, Santo Domingo Centro (D.N.), Santo Domingo",112,"Agua Potable, Balcón, Cisterna, Control de Acceso, Seguridad 24 Horas"
